,price,Year,Hand,Kilometer,Area,Gearbox,Engine capcity,Color,manufacturer,type
144,105000.0,2016.0,2.0,78000.0, גדרה יבנה והסביבה,אוטומטית,1999.0,             לבן פנינה,יונדאי, סונטה
145,26000.0,2012.0,2.0,170000.0, אשדוד - אשקלון,אוטומטית,1396.0,             אפור עכבר,יונדאי, i25
146,45000.0,2014.0,3.0,119000.0," ראשל""צ והסביבה",אוטומטית,1591.0,             לבן מטאלי,יונדאי, i25
147,38000.0,2013.0,3.0,139000.0, נס ציונה - רחובות,אוטומטית,1591.0,             לבן פנינה,יונדאי, i30cw
148,18000.0,2012.0,2.0,163639.0, אילת והערבה,אוטומטית,1591.0,             כסוף,יונדאי, i30cw
149,43400.0,2013.0,2.0,180000.0, מודיעין והסביבה,אוטומטית,1591.0,             לבן,יונדאי, i30
151,26000.0,2012.0,3.0,150000.0, חדרה וישובי עמק חפר,אוטומטית,1248.0,             אדום,יונדאי, i10
152,39000.0,2014.0,5.0,145000.0, פתח תקוה והסביבה,אוטומטית,1591.0,             שחור,יונדאי, ולוסטר
153,25000.0,2012.0,3.0,125000.0, זכרון - בנימינה,אוטומטית,1396.0,             תכלת מטאלי,יונדאי, i20
154,33500.0,2011.0,3.0,182000.0, טבריה והסביבה,אוטומטית,1591.0,             שחור,יונדאי, i35
155,58500.0,2015.0,2.0,132000.0, פתח תקוה והסביבה,אוטומטית,1591.0,             כסוף,יונדאי, i35
156,55000.0,2013.0,1.0,70000.0, פתח תקוה והסביבה,אוטומטית,1591.0,             לבן,יונדאי, i30
157,41000.0,2012.0,2.0,152000.0, אשדוד - אשקלון,אוטומטית,1591.0,             אפור מטאלי,יונדאי, ולוסטר
158,31000.0,2014.0,4.0,142000.0, באר שבע והסביבה,אוטומטית,998.0,             כסוף,יונדאי, i10
159,40000.0,2015.0,2.0,213000.0, באר שבע והסביבה,אוטומטית,1591.0,             לבן,יונדאי, i25
160,65000.0,2018.0,2.0,65000.0," ראשל""צ והסביבה",אוטומטית,1368.0,             כסוף,יונדאי, i25
161,88000.0,2018.0,2.0,100000.0, ירושלים והסביבה,אוטומטית,1580.0,             אפור מטאלי,יונדאי, איוניק
162,85000.0,2020.0,2.0,19251.0, מושבים בשפלה,אוטומטית,998.0,             לבן,יונדאי, i20
163,75000.0,2017.0,2.0,105000.0, יישובי השומרון,אוטומטית,1580.0,             אפור עכבר,יונדאי, איוניק
164,28000.0,2014.0,2.0,260000.0, עכו - נהריה,אוטומטית,1591.0,             שחור,יונדאי, i30
165,100000.0,2020.0,1.0,81900.0, רמת גן - גבעתיים,אוטומטית,1580.0,             לבן,יונדאי, איוניק
167,99000.0,2016.0,2.0,108000.0, הוד השרון והסביבה,אוטומטית,1999.0,             לבן פנינה,יונדאי, סונטה
168,26000.0,2014.0,1.0,73000.0, חדרה וישובי עמק חפר,ידנית,998.0,             כסוף מטאלי,יונדאי, i10
169,89000.0,2018.0,2.0,117000.0, עכו - נהריה,אוטומטית,1580.0,             לבן,יונדאי, איוניק
170,45500.0,2017.0,2.0,70000.0, אשדוד - אשקלון,אוטומטית,998.0,             שחור,יונדאי, i10
171,49500.0,2014.0,4.0,116000.0, בית שמש והסביבה,אוטומטית,1591.0,             ברונזה,יונדאי, i35
